Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,,,,,,,,
FPix_BpO_D1_BLD6_PNL1_RNG2,,6B,M-N-3-29,10040,5,1Bb,1BB,5,PR037,,PB-3,J11,1,,,CI-A 015,P79,5,SN112498/0023,8,30201210004667,B,0x7c,0x10,+z up left 4,1,+z up left 2,2,5,green-3,5/6,3,t,1289,up center,,9,1,2,,,,,,,,
FPix_BpO_D1_BLD7_PNL1_RNG2,,7B,M-Y-B-NP,10037,4,1Bb,1BB,4,PR037,,PB-3,J11,2,,,CI-A 015,P79,6,SN112498/0058,8,30201210004667,B,0x7c,0x10,+z up left 4,2,+z up left 2,2,6,blue-1,25/26,3,b,1289,up center,,9,1,2,,,,,,,,
FPix_BpO_D1_BLD8_PNL1_RNG2,,8B,M-M-2-41,10036,3,1Bb,1BB,3,PR037,,PB-3,J11,1,,,CI-A 015,P79,6,SN112498/0058,8,30201210004667,B,0x7c,0x10,+z up left 4,2,+z up left 2,2,6,green-3,29/30,3,b,1289,up center,,9,1,2,,,,,,,,
FPix_BpO_D1_BLD9_PNL1_RNG2,,9B,M-O-2-07,10032,2,1Bb,1BB,1,PR037,,PB-3,J11,1,,,CI-A 015,P79,7,SN112498/0025,8,30201210004667,B,0x7c,0x10,+z up left 4,3,+z up left 2,2,7,green-3,5/6,4,t,1290,up center,,9,1,2,,,,,,,,
FPix_BpO_D1_BLD10_PNL1_RNG2,,10B,M-Y-A-NJ,7020,5,1Bc,1BC,7,PR033,,PB-20,J11,1,,,CI-A 049,P80,12,SN112498/0020,14,30201210004626,A,0x7e,0x10,+z down left 4,4,+z down left 2,2,8,blue-1,25/26,4,b,1290,up center,,10,1,1,,,,,,,,
FPix_BpO_D1_BLD11_PNL1_RNG2,,11B,M-I-3-47,10025,4,1Bc,1BC,5,PR033,,PB-20,J11,1,,,CI-A 049,P80,13,SN112498/0057,14,30201210004626,A,0x7e,0x10,+z down left 4,3,+z down left 2,2,9,blue-1,1/2,5,t,1291,up center,,10,1,1,,,,,,,,
FPix_BpO_D1_BLD12_PNL1_RNG2,,12B,M-Y-K-NS,7006,3,1Bc,1BC,3,PR033,,PB-20,J11,1,,,CI-A 049,P80,18,SN112498/0059,14,30201210004626,A,0x7e,0x10,+z down left 4,2,+z down left 2,2,10,blue-1,25/26,5,b,1291,up center,,10,1,1,,,,,,,,
FPix_BpO_D1_BLD13_PNL1_RNG2,,13B,M-N-3-28,10021,2,1Bc,1BC,1,PR033,,PB-20,J11,1,,,CI-A 049,P80,19,SN112498/0060,14,30201210004626,A,0x7e,0x10,+z down left 4,1,+z down left 2,2,11,blue-1,1/2,6,t,1292,up center,,10,1,1,,,,,,,,
FPix_BpO_D1_BLD14_PNL1_RNG2,,14B,M-M-1-39,10043,5,1Bd,1BD,7,PR036,,PB-26,J11,1,,,CI-A 048,P82,19,SN112498/0060,14,30201210004626,B,0x7d,0x10,+z down left 4,1,+z down left 2,2,11,green-3,5/6,6,t,1292,up center,,10,1,2,,,,,,,,
FPix_BpO_D1_BLD15_PNL1_RNG2,,15B,M-Y-B-NB,7022,4,1Bd,1BD,5,PR036,,PB-26,J11,1,,,CI-A 048,P82,20,SN112498/0042,14,30201210004626,B,0x7d,0x10,+z down left 3,3,+z down left 2,2,12,green-3,29/30,6,b,1292,up center,,10,1,2,,,,,,,,
FPix_BpO_D1_BLD16_PNL1_RNG2,,16B,M-N-3-49,10013,3,1Bd,1BD,3,PR036,,PB-26,J11,1,,,CI-A 048,P82,21,SN112498/0054,14,30201210004626,B,0x7d,0x10,+z down left 3,2,+z down left 2,2,13,green-3,5/6,7,t,1293,up center,,10,1,2,,,,,,,,
FPix_BpO_D1_BLD17_PNL1_RNG2,,17B,M-M-1-13,7025,2,1Bd,1BD,1,PR036,,PB-26,J11,1,,,CI-A 048,P82,22,SN112498/0053,14,30201210004626,B,0x7d,0x10,+z down left 3,1,+z down left 2,2,14,green-3,29/30,7,b,1293,up center,,10,1,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPix_BpO_D2_BLD1_PNL2_RNG1,HC4-Disk2-Inner,1T,M-I-1-02,11032,15,2Ta,2TA,6,PR107,,PB-23,J12,4,,,CI-A 038,P41,1,SN112498/0007,9,30201210004613,A,0x7b,0x11,+z up left 3,1,+z up left 2,3,1,black-8,15/16,1,t,1287,up center,,9,2,1,BpO,,,,,,,
FPix_BpO_D2_BLD2_PNL2_RNG1,,2T,M-P-3-48,6100,14,2Ta,2TA,4,PR107,,PB-23,J12,4,,,CI-A 038,P41,2,SN112498/0021,9,30201210004613,A,0x7b,0x11,+z up left 3,2,+z up left 2,3,2,black-8,39/40,1,b,1287,up center,,9,2,1,,,,,,,,
FPix_BpO_D2_BLD3_PNL2_RNG1,,3T,M-P-3-43,11007,13,2Ta,2TA,2,PR107,,PB-23,J12,4,,,CI-A 038,P41,3,SN112498/0022,9,30201210004613,A,0x7b,0x11,+z up left 3,3,+z up left 2,3,3,black-8,15/16,2,t,1288,up center,,9,2,1,,,,,,,,
FPix_BpO_D2_BLD4_PNL2_RNG1,,4T,M-N-3-02,11009,15,2Tb,2TB,6,PR139,,PB-6,J12,4,,,CI-A 011,P106,5,SN112498/0023,9,30201210004613,B,0x7c,0x11,+z up left 4,1,+z up left 2,3,5,white-6,11/12,3,t,1289,up center,,9,2,2,,,,,,,,
FPix_BpO_D2_BLD5_PNL2_RNG1,,5T,M-P-4-08,11018,14,2Tb,2TB,2,PR139,,PB-6,J12,4,,,CI-A 011,P106,7,SN112498/0025,9,30201210004613,B,0x7c,0x11,+z up left 4,3,+z up left 2,3,7,white-6,11/12,4,t,1290,up center,,9,2,2,,,,,,,,
FPix_BpO_D2_BLD6_PNL2_RNG1,,6T,M-P-4-44,6004,15,2Tc,2TC,6,PR146,,PB-45,J12,4,,,CI-A 044,P108,12,SN112498/0020,15,30201210004619,A,0x7e,0x11,+z down left 4,4,+z down left 2,3,8,black-8,39/40,4,b,1290,up center,,10,2,1,,,,,,,,
FPix_BpO_D2_BLD7_PNL2_RNG1,,7T,M-I-4-12,11024,14,2Tc,2TC,4,PR146,,PB-45,J12,4,,,CI-A 044,P108,13,SN112498/0057,15,30201210004619,A,0x7e,0x11,+z down left 4,3,+z down left 2,3,9,black-8,15/16,5,t,1291,up center,,10,2,1,,,,,,,,
FPix_BpO_D2_BLD8_PNL2_RNG1,,8T,M-P-2-42,11048,13,2Tc,2TC,2,PR146,,PB-45,J12,4,,,CI-A 044,P108,18,SN112498/0059,15,30201210004619,A,0x7e,0x11,+z down left 4,2,+z down left 2,3,10,black-8,39/40,5,b,1291,up center,,10,2,1,,,,,,,,
FPix_BpO_D2_BLD9_PNL2_RNG1,,9T,M-P-1-42,11033,15,2Td,2TD,6,PR144,,PB-30,J12,4,,,CI-A 054,P109,20,SN112498/0042,15,30201210004619,B,0x7d,0x11,+z down left 3,3,+z down left 2,3,12,white-6,35/36,6,b,1292,up center,,10,2,2,,,,,,,,
