Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,,,,,,,
FPix_BmI_D1_BLD7_PNL1_RNG2,,7B,M-M-4-02,8034,4,1Bb,1BB,4,PR017,,PB-19,J11,2,,,CI-A 014,P95,6,SN122498/0043,8,30201210004620,B,0x7c,0x10,-z up left 4,2,-z up left 2,2,6,blue-1,25/26,3,b,1296,down center,,9,1,2,,,,,,,
FPix_BmI_D1_BLD8_PNL1_RNG2,,8B,M-M-4-06,8038,3,1Bb,1BB,3,PR017,,PB-19,J11,1,,,CI-A 014,P95,6,SN122498/0043,8,30201210004620,B,0x7c,0x10,-z up left 4,2,-z up left 2,2,6,green-3,29/30,3,b,1296,down center,,9,1,2,,,,,,,
FPix_BmI_D1_BLD9_PNL1_RNG2,,9B,M-L-3-24,8049,2,1Bb,1BB,1,PR017,,PB-19,J11,1,,,CI-A 014,P95,7,SN122498/0044,8,30201210004620,B,0x7c,0x10,-z up left 4,3,-z up left 2,2,7,green-3,5/6,4,t,1297,down center,,9,1,2,,,,,,,
FPix_BmI_D1_BLD10_PNL1_RNG2,,10B,M-Y-J-NW,8037,5,1Bc,1BC,7,PR024,,PB-1,J11,1,,,CI-A 045,P44,12,SN122498/0035,14,30201210004691,A,0x7e,0x10,-z down left 4,4,-z down left 2,2,8,blue-1,25/26,4,b,1297,down center,,10,1,1,,,,,,,
FPix_BmI_D1_BLD11_PNL1_RNG2,,11B,M-M-2-10,8036,4,1Bc,1BC,5,PR024,,PB-1,J11,1,,,CI-A 045,P44,13,SN122498/0039,14,30201210004691,A,0x7e,0x10,-z down left 4,3,-z down left 2,2,9,blue-1,1/2,5,t,1298,down center,,10,1,1,,,,,,,
FPix_BmI_D1_BLD12_PNL1_RNG2,,12B,M-Y-M-NG,8040,3,1Bc,1BC,3,PR024,,PB-1,J11,1,,,CI-A 045,P44,18,SN122498/0027,14,30201210004691,A,0x7e,0x10,-z down left 4,2,-z down left 2,2,10,blue-1,25/26,5,b,1298,down center,,10,1,1,,,,,,,
FPix_BmI_D1_BLD13_PNL1_RNG2,,13B,M-N-3-36,8048,2,1Bc,1BC,1,PR024,,PB-1,J11,1,,,CI-A 045,P44,19,SN122498/0048,14,30201210004691,A,0x7e,0x10,-z down left 4,1,-z down left 2,2,11,blue-1,1/2,6,t,1299,down center,,10,1,1,,,,,,,
FPix_BmI_D1_BLD14_PNL1_RNG2,,14B,M-M-1-24,8035,5,1Bd,1BD,7,PR005,,PB-12,J11,1,,,CI-A 006,P120,19,SN122498/0048,14,30201210004691,B,0x7d,0x10,-z down left 4,1,-z down left 2,2,11,green-3,5/6,6,t,1299,down center,,10,1,2,,,,,,,
FPix_BmI_D1_BLD15_PNL1_RNG2,,15B,M-M-2-48,8050,4,1Bd,1BD,5,PR005,,PB-12,J11,1,,,CI-A 006,P120,20,SN122498/0052,14,30201210004691,B,0x7d,0x10,-z down left 3,3,-z down left 2,2,12,green-3,29/30,6,b,1299,down center,,10,1,2,,,,,,,
FPix_BmI_D1_BLD16_PNL1_RNG2,,16B,M-M-1-05,8030,3,1Bd,1BD,3,PR005,,PB-12,J11,1,,,CI-A 006,P120,21,SN122498/0051,14,30201210004691,B,0x7d,0x10,-z down left 3,2,-z down left 2,2,13,green-3,5/6,7,t,1300,down center,,10,1,2,,,,,,,
FPix_BmI_D1_BLD17_PNL1_RNG2,,17B,M-Y-M-NS,8031,2,1Bd,1BD,1,PR005,,PB-12,J11,1,,,CI-A 006,P120,22,SN122498/0081,14,30201210004691,B,0x7d,0x10,-z down left 3,1,-z down left 2,2,14,green-3,29/30,7,b,1300,down center,,10,1,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
